trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.95}",25,0,-101.66482498708643,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.8999999999999999}",20,0,-194.81828035010733,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
3,False,"{'a': 0.01, 'e': 0.8499999999999999}",25,0,-74.8120930136876,"{0: 17, 1: 3, 2: 2, 3: 3, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.7999999999999998}",20,0,-95.62847882539397,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.7499999999999998}",20,13,-23.69584516820305,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.01, 'e': 0.6999999999999997}",25,0,-79.92191023262464,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.6499999999999997}",25,0,-103.20082081718508,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.5999999999999996}",20,0,-45.481493883067515,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.5499999999999996}",20,0,-82.58996387841341,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.4999999999999996}",20,0,-46.47253468109522,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.4499999999999996}",25,0,-137.88513064773105,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.39999999999999963}",20,0,-107.7507980613176,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.34999999999999964}",25,0,-132.37556080638373,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.29999999999999966}",20,0,-39.223062373872935,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.24999999999999967}",25,0,-38.68857882421371,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.19999999999999968}",20,0,-116.51445843338556,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.1499999999999997}",25,0,-14.843830510280924,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.09999999999999969}",20,0,-30.968130157239507,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.049999999999999684}",20,13,13.819726095114312,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.01, 'e': -3.191891195797325e-16}",20,14,-43.10704421499084,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,0,-6.489990092821543,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-3.8284045959715467,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-18.38057253178621,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,9,-88.97093399490242,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",20,0,-4.112973240089738,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,15,7.409488079295278,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-36.51948356790675,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,18.381867043193935,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,-15.427347336451717,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,10,14.36844322193921,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
