trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",25,0,-100.26735329933412,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.999000499833375}",20,0,-58.708079629794696,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9980019986673331}",20,0,-65.21964770191023,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.997004495503373}",30,0,-142.3546693584132,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9960079893439915}",20,0,-30.169326681514743,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9950124791926823}",25,0,-268.48611322346653,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 5}",0
7,False,"{'a': 0.01, 'e': 0.9940179640539353}",25,0,-124.54193922847554,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9930244429332351}",30,2,-117.28066065346006,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 1}",1
9,False,"{'a': 0.01, 'e': 0.9920319148370607}",20,0,-88.99405411120725,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9910403787728836}",20,1,-149.18161034579123,"{0: 8, 1: 2, 2: 5, 3: 3, 4: 1}",1
11,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-105.71146834603235,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9890602787753687}",25,0,-109.52658451999588,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9880717128619305}",25,0,-103.88340476730623,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9870841350202876}",30,3,-200.85574382052357,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 3}",1
15,False,"{'a': 0.01, 'e': 0.9860975442628619}",25,0,-138.30718884905866,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.9851119396030626}",20,0,-65.76944753662094,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9841273200552851}",20,0,-99.93804523581255,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9831436846349096}",25,0,-184.75382468931258,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9821610323583008}",25,0,-167.0923313042555,"{0: 13, 1: 6, 2: 1, 3: 3, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.981179362242806}",30,0,-109.51681322679751,"{0: 19, 1: 4, 2: 3, 3: 4, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-165.40383164852602,"{0: 11, 1: 2, 2: 9, 3: 2, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9792189645694596}",25,0,-184.87334978149994,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
23,False,"{'a': 0.01, 'e': 0.97824023505121}",20,0,-56.10454047758607,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.9772624837732771}",20,7,-22.85197190675634,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
25,False,"{'a': 0.01, 'e': 0.9762857097579093}",30,0,-165.26225159354817,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.9753099120283326}",20,0,-85.16347199083476,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
