trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",30,0,-128.15529598500345,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.999000499833375}",30,0,-165.49655070109088,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9980019986673331}",30,0,-83.87190341712818,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.997004495503373}",20,0,-83.98766269045231,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9960079893439915}",35,0,-235.9737801450068,"{0: 18, 1: 7, 2: 6, 3: 0, 4: 4}",0
6,False,"{'a': 0.01, 'e': 0.9950124791926823}",25,0,-121.24851558479328,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9940179640539353}",25,0,-139.32875014855261,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9930244429332351}",35,0,-131.39597981371034,"{0: 22, 1: 4, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9920319148370607}",25,0,-173.24824948141986,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9910403787728836}",30,0,-143.30215583046012,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9900498337491681}",20,0,-86.98500320838369,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9890602787753687}",25,0,-156.53135124966082,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9880717128619305}",25,0,-198.073581489677,"{0: 9, 1: 4, 2: 9, 3: 1, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9870841350202876}",30,0,-243.50840752139501,"{0: 9, 1: 8, 2: 9, 3: 2, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9860975442628619}",25,0,-166.23874558232765,"{0: 11, 1: 4, 2: 6, 3: 3, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9851119396030626}",20,9,-46.96171326450246,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.01, 'e': 0.9841273200552851}",20,0,-112.13886988800122,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9831436846349096}",20,0,-74.04521049665755,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9821610323583008}",20,0,-110.21896904677833,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.981179362242806}",20,0,-96.97807149037209,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9801986733067553}",25,0,-140.3935128249667,"{0: 11, 1: 8, 2: 3, 3: 2, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9792189645694596}",25,0,-199.0004947822612,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
23,False,"{'a': 0.01, 'e': 0.97824023505121}",25,0,-93.08251547752685,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.9772624837732771}",20,9,-63.23554018452717,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
25,False,"{'a': 0.01, 'e': 0.9762857097579093}",20,0,-162.8757098150382,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
26,False,"{'a': 0.01, 'e': 0.9753099120283326}",20,0,-72.07358017632676,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.9743350896087494}",25,0,-203.3617108541043,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
28,False,"{'a': 0.01, 'e': 0.9733612415243368}",30,0,-99.6398036519076,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9723883668012469}",20,0,-20.072716562212886,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.9714164644666048}",20,0,-71.58305629215246,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.9704455335485082}",30,0,-71.8647704650236,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
32,False,"{'a': 0.01, 'e': 0.9694755730760259}",35,9,-64.49973007059825,"{0: 16, 1: 5, 2: 4, 3: 1, 4: 0}",1
33,False,"{'a': 0.01, 'e': 0.9685065820791976}",30,0,-156.05092725864853,"{0: 16, 1: 3, 2: 6, 3: 5, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.967538559589032}",20,0,-143.03186181521238,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.9665715046375066}",20,3,-72.19113628889048,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 0}",1
36,False,"{'a': 0.01, 'e': 0.9656054162575665}",30,0,-54.39652622208789,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.9646402934831231}",20,0,-160.8992981125668,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.9636761353490535}",30,0,-239.54342628245348,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 5}",0
39,False,"{'a': 0.01, 'e': 0.9627129408911995}",20,0,-179.62133151239559,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
40,False,"{'a': 0.01, 'e': 0.9617507091463667}",20,0,-126.25085011678343,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
41,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-54.342447188420174,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.9598291299477989}",20,0,-101.11719561821666,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9588697805724845}",30,0,-300.5638150724055,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 6}",0
44,False,"{'a': 0.01, 'e': 0.9579113900670306}",20,0,-34.644282658007214,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.9569539574730467}",35,0,-254.9978370690963,"{0: 19, 1: 1, 2: 9, 3: 3, 4: 3}",0
46,False,"{'a': 0.01, 'e': 0.9559974818331}",30,0,-160.089738528782,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.9550419621907147}",25,0,-73.64016867236151,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.9540873975903711}",35,0,-210.23677713942297,"{0: 16, 1: 4, 2: 13, 3: 0, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.9531337870775047}",20,0,-115.15379698819014,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.9521811296985049}",25,0,-84.35993246947571,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-57.029835770362716,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.950278670532427}",25,0,-44.371756326655394,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.9493288668428895}",20,0,-136.1963298545025,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
54,False,"{'a': 0.01, 'e': 0.9483800124822982}",30,0,-174.50192896097977,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.9474321065017983}",20,0,-68.20539843130128,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.9464851479534838}",30,0,-137.62798550721516,"{0: 14, 1: 7, 2: 8, 3: 0, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.9455391358903963}",25,0,-122.8591645099003,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.9445940693665233}",25,5,-36.17916707911929,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.9436499474367985}",20,0,-119.69405906504394,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
60,False,"{'a': 0.01, 'e': 0.9427067691570997}",20,0,-126.93925564753184,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
61,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,0,-159.20336401738922,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
62,False,"{'a': 0.01, 'e': 0.9408232397760097}",30,18,-7.083054113641552,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.9398828867910889}",30,0,-134.79527480811316,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.9389434736891332}",30,0,-139.50120038262114,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.9380049995307295}",30,0,-183.30727903702373,"{0: 16, 1: 1, 2: 10, 3: 1, 4: 2}",0
66,False,"{'a': 0.01, 'e': 0.9370674633774034}",30,0,-214.0576296264134,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 4}",0
67,False,"{'a': 0.01, 'e': 0.9361308642916188}",25,0,-188.279128221991,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
68,False,"{'a': 0.01, 'e': 0.9351952013367766}",20,5,-29.359562156679946,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.9342604735772135}",25,0,-89.36780652871823,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.933326680078202}",30,0,-222.8704643313578,"{0: 13, 1: 4, 2: 8, 3: 3, 4: 2}",0
71,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,0,-60.13499881817743,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.9314618921275921}",20,0,-91.65301641385648,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.9305308958112057}",20,0,-51.26567964593429,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.9296008300257927}",25,0,-44.28448292470835,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.9286716938412872}",35,0,-122.40273148511163,"{0: 23, 1: 2, 2: 8, 3: 1, 4: 1}",0
76,False,"{'a': 0.01, 'e': 0.9277434863285529}",20,0,-50.21447496645743,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.9268162065593822}",20,0,-119.93702653626954,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
78,False,"{'a': 0.01, 'e': 0.9258898536064953}",25,0,-160.86722053896116,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
79,False,"{'a': 0.01, 'e': 0.9249644265435393}",20,0,-87.93095192657904,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.9240399244450868}",20,0,-129.9438007757438,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
81,False,"{'a': 0.01, 'e': 0.9231163463866358}",25,4,-38.144389212671115,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.922193691444608}",20,6,-39.02277571510425,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.9212719586963487}",30,0,-155.01014007268236,"{0: 14, 1: 2, 2: 12, 3: 2, 4: 0}",0
