trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",20,0,-120.28103927412216,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.999000499833375}",30,15,-92.14307626241225,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 1}",1
3,False,"{'a': 0.01, 'e': 0.9980019986673331}",20,0,-38.46997022863892,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.997004495503373}",20,0,-68.66081974151659,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9960079893439915}",25,0,-161.599918669239,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9950124791926823}",25,0,-187.66755789566497,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.9940179640539353}",30,0,-104.24719006043915,"{0: 17, 1: 7, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9930244429332351}",25,16,-65.45281595511926,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.01, 'e': 0.9920319148370607}",20,0,-131.16500845847932,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9910403787728836}",30,0,-53.684315143228496,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-213.07109996019295,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 4}",0
12,False,"{'a': 0.01, 'e': 0.9890602787753687}",20,0,-167.29114231331215,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9880717128619305}",20,0,-140.41238810846608,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9870841350202876}",20,0,-76.6486615233145,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9860975442628619}",20,0,-130.73867675799664,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.9851119396030626}",30,0,-116.74597505029246,"{0: 16, 1: 7, 2: 4, 3: 3, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9841273200552851}",25,0,-87.2058039774644,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9831436846349096}",25,11,-50.63803113796797,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.9821610323583008}",20,4,-79.22147785704523,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 1}",1
20,False,"{'a': 0.01, 'e': 0.981179362242806}",20,0,-166.21468943668455,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
