trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-226.39751176835068,"{0: 15, 1: 6, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.743877076007053,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-225.31541219651518,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.59224290813594,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.44299716991559,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.86641104516735,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.14252962986077,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.29675716810283,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.50370174987572,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,7,-103.75315464987882,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.741290017793055,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.04374309095545,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.77690636435587,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.65820021557829,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.87151330514935,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-35.9883576090253,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.37917986404779,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",35,0,-211.83406346219965,"{0: 16, 1: 8, 2: 7, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-117.86521491583851,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-194.5213042177702,"{0: 14, 1: 4, 2: 9, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,1,-24.67718152912697,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-115.61199831444047,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,1,-154.8869084871306,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-55.35785262087235,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-104.00642429392022,"{0: 20, 1: 7, 2: 7, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-89.42333691733043,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-182.5593667477387,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-86.22754696251872,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-173.5228504155764,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-183.85023609885354,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
